double: double 
player: players player 
tradu: tradu 
headband: headband 
italic: italics 
bitch: bitch 
bread: bread 
chorus: chorus 
thought: thoughts 
section: section 
nederlandse: nederlandse 
ot: ot 
success: success 
laid: laid 
drank: drank 
february: february 
pas: pass 
entering: entering 
jumpin: jumpin 
patient: patient 
remixes: remixes 
reference: reference 
heralded: heralded 
collection: collection 
nba: nba 
use: use 
common: common 
congratulation: congratulations 
lyric: lyrics lyric 
outro: outro 
information: information 
minimal: minimal 
w: w 
walk: walk 
world: world 
holding: holdings 
rick: rick 
oh: oh 
v: v 
cold: cold 
option: option options 
vertaling: vertaling 
back: back 
akin: akin 
much: much 
valuable: valuable 
hater: haters 
privacy: privacy 
artist: artists 
ayy: ayy 
padillion: padillion 
bout: bout 
micah: micah 
loved: loved 
go: go 
either: either 
reflected: reflected 
fall: fall 
buy: buy 
another: another 
spendin: spendin 
eviri: eviri 
answer: answer 
share: share 
pay: pay 
teeth: teeth 
never: never 
k: k 
think: think 
practice: practice 
co: co 
sin: sin 
guideline: guidelines 
name: name 
toe: toes 
check: check 
song: song songs 
credit: credits 
showing: showing 
wayne: wayne 
republic: republic 
man: man 
gonna: gonna 
miis: miis 
even: even 
block: block 
cramer: cramer 
engineer: engineer 
happy: happy 
instrumental: instrumental 
post: post 
rich: rich 
instrumentation: instrumentation 
money: money 
real: real 
serve: serve 
songview: songview 
comment: comment comments 
wrote: wrote 
shawny: shawny 
deja: deja 
contributor: contributor contributors 
greatest: greatest 
read: read 
jxmmi: jxmmi 
lil: lil 
meme: memes 
part: parts part 
header: headers 
right: right rights 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
ball: ball 
ah: ah 
developer: developers 
fki: fki 
erykah: erykah 
dwarf: dwarf 
cigarette: cigarettes 
bmg: bmg 
ballin: ballin 
remix: remix 
marty: marty 
rk: rk 
mixing: mixing 
electric: electric 
view: view 
style: style 
dead: dead 
musical: musical 
visit: visit 
created: created 
shit: shit 
head: head 
p: p 
ooh: ooh 
see: see 
call: call 
leaked: leaked 
broken: broken 
different: different 
shot: shot 
led: led 
yet: yet 
red: red 
e: es e 
video: videos video 
featured: featured 
album: album 
tag: tags 
nothin: nothin 
grant: grants 
label: label 
galerie: galerie 
started: started 
ascap: ascap 
wap: wap 
got: got 
dre: dre 
swish: swish 
score: score 
type: type 
inclination: inclination 
release: release 
b: b 
stoned: stoned 
rule: rules 
mamba: mamba 
lace: lace 
grownoobshow: grownoobshow 
group: group 
jump: jump 
metaphor: metaphors 
bmi: bmi 
intro: intro 
french: french 
travi: travi 
x: x 
one: one 
breakfast: breakfast 
transcriber: transcribers 
bronxhalo: bronxhalo 
jordan: jordans 
superstar: superstar 
unexpected: unexpected 
track: tracks track 
policy: policy 
prime: prime 
publisher: publisher 
dream: dreams 
future: future 
reason: reason 
slim: slim 
etc: etc 
sell: sell 
austin: austin 
took: took 
portugu: portugu 
soon: soon 
anthem: anthem 
annotation: annotation 
air: air 
practically: practically 
broke: broke 
bet: bet 
nosebleed: nosebleeds 
tragic: tragic 
along: along 
best: best 
somewhere: somewhere 
genius: genius 
robinson: robinsons 
scott: scott 
people: people 
sample: samples sample 
press: press 
club: club 
lesson: lesson 
rap: rap 
sound: sound 
saucin: saucin 
programmer: programmer 
releasing: releasing 
zaramay: zaramay 
stand: stand 
gon: gon 
u: u us 
edition: edition 
verified: verified 
n: n 
g: g 
braid: braids 
dwarfism: dwarfism 
knowledge: knowledge 
sustaining: sustaining 
large: large 
sesac: sesac 
make: make makes 
virtually: virtually 
death: death 
base: base 
line: lines 
mitchell: mitchell 
gold: gold 
brasil: brasil 
licensing: licensing 
kd: kd 
kiana: kiana 
j: j 
binladen: binladen 
average: average 
iverson: iverson 
nederland: nederlands 
vertalingen: vertalingen 
devil: devil 
rex: rex 
change: change 
forum: forum 
said: said 
advertise: advertise 
watch: watch 
malone: malone 
dinos: dinos 
add: add 
bastard: bastards 
understand: understand 
guide: guide 
shaqtin: shaqtin 
rockin: rockin 
basketball: basketball 
hamza: hamza 
fetty: fetty 
slowkiing: slowkiing 
london: london 
promote: promote 
roll: rolls 
smokin: smokin 
job: jobs 
smiling: smiling 
biggest: biggest 
copyright: copyright 
bold: bold 
plan: plan 
f: f 
contact: contact 
pi: pi 
harden: harden 
em: em 
turkish: turkish 
similar: similar 
filled: filled 
ml: ml 
stoney: stoney 
yz: yz 
autotuned: autotuned 
production: production 
also: also 
considered: considered 
get: get 
mean: mean 
translation: translations translation 
speaks: speaks 
white: white 
fact: facts 
dutch: dutch 
explained: explained 
sleeve: sleeve 
cancel: cancel 
trap: trap 
z: z 
high: high 
whiskey: whiskey 
whitney: whitney 
valentine: valentines 
mastering: mastering 
emi: emi 
new: new 
posty: posty 
project: project 
xxl: xxl 
made: made 
montana: montana 
term: terms 
bb: bb 
hoe: hoes 
black: black 
og: og 
generator: generator 
interpolate: interpolate 
smash: smash 
whopper: whopper 
grand: grand 
badu: badu 
antidote: antidote 
livin: livin 
ciel: ciel 
happen: happen 
cashio: cashio 
embed: embed 
allen: allen 
winning: winning 
universal: universal 
ft: ft 
fifty: fifty 
time: time 
last: last 
digital: digital 
hot: hot 
lie: lie 
three: three 
binks: binks 
slumped: slumped 
influence: influences 
wow: wow 
ultimate: ultimate 
cloud: cloud 
brigand: brigand 
like: like 
distinguish: distinguish 
velous: velous 
cover: covers 
grace: grace 
swaggin: swaggin 
treat: treat 
fuck: fuck 
milestone: milestones 
beatz: beatz 
source: source 
leave: leave 
need: need 
sign: sign 
q: q 
unknown: unknown 
davis: davis 
day: day 
pop: pop 
r: r 
favorite: favorite 
llc: llc 
truly: truly 
ross: ross 
bryuk: bryuk 
bourne: bourne 
insight: insight 
ray: ray 
expand: expand 
big: big 
breakout: breakout 
orleans: orleans 
feel: feel 
pain: pain 
talkin: talkin 
portuguese: portuguese 
repeating: repeating 
glass: glass 
love: love 
hit: hit 
publishing: publishing 
work: work 
vu: vu 
maymike: maymike 
storm: storm 
date: date 
girl: girls 
c: c 
kudo: kudo 
quanone: quanone 
house: house 
martin: martin 
reached: reached 
interview: interview 
h: h 
individual: individual 
stage: stage 
award: award 
planet: planet 
internet: internet 
apart: apart 
know: know 
personal: personal 
transcription: transcription 
chart: charts 
might: might 
hard: hard 
pre: pre 
happens: happens 
gone: gone 
idea: idea 
yeah: yeah 
joes: joes 
record: records 
store: store 
sing: sing 
however: however 
music: music 
miss: miss 
l: l 
comma: commas 
live: live 
queen: queen 
question: question 
complete: complete 
magic: magic 
producer: producer 
silver: silver 
drop: drop 
yellow: yellow 
feeling: feeling 
shop: shop 
produced: produced 
learn: learn 
salam: salam 
flex: flex 
ring: ring 
coca: coca 
