atlantic: atlantic 
double: double 
damn: damn 
tradu: tradu 
lived: lived 
isosine: isosine 
italic: italics 
woo: woo 
superorganism: superorganism 
chorus: chorus 
still: still 
saxophone: saxophone 
section: section 
represents: represents 
time: times time 
leroy: leroy 
girl: girl girls 
summerbash: summerbash 
campus: campus 
nightbird: nightbird 
ad: ad 
libs: libs 
almost: almost 
mann: mann 
chicago: chicago 
showed: showed 
deutsch: deutsch 
strachan: strachan 
coj: coj 
remixes: remixes 
debut: debut 
little: little 
synth: synth 
andrew: andrew 
mi: mi 
kyle: kyle 
merkules: merkules 
released: released 
natewantstobattle: natewantstobattle 
movie: movie 
traductions: traductions 
collection: collection 
insane: insane 
publicly: publicly 
seong: seong 
tell: tell 
roadtrip: roadtrip 
use: use 
samantha: samantha 
belongs: belongs 
manner: manners 
ended: ended 
corp: corp 
lyric: lyrics lyric 
bad: bad 
give: give 
amp: amp 
traffic: traffic 
outro: outro 
guitar: guitar 
doin: doin 
information: information 
demo: demo 
including: including 
boy: boy boys 
certified: certified 
kid: kids kid 
personality: personality 
crazy: crazy 
larrabee: larrabee 
sketch: sketch 
walk: walk 
world: world 
w: w 
concert: concert 
making: making 
impromtu: impromtu 
holding: holdings 
de: de 
traduction: traduction 
diamond: diamond 
thug: thug 
oh: oh 
v: v vs 
baby: baby 
malo: malo 
karla: karla 
becoming: becoming 
syco: syco 
back: back 
much: much 
alex: alex 
kurt: kurt 
consequence: consequences 
immigrated: immigrated 
concord: concord 
privacy: privacy 
artist: artists artist 
yes: yes 
parent: parents 
write: write 
ayy: ayy 
nonstop: nonstop 
bout: bout 
loved: loved 
go: go 
beat: beats 
knew: knew 
ca: ca 
run: run 
kidz: kidz 
earworm: earworm 
answer: answer 
multi: multi 
share: share 
harmony: harmony 
pay: pay 
spend: spend 
uncle: uncle 
unfazed: unfazed 
kinda: kinda 
robert: robert 
week: week weeks 
never: never 
cap: caps 
darker: darker 
moffett: moffett 
badmind: badmind 
anyone: anyone 
k: k 
think: think 
