damn: damn 
vent: vents 
junior: junior 
penitentiary: penitentiary 
talk: talk 
lexpair: lexpair 
turkey: turkey 
italic: italics 
bitch: bitch bitches 
around: around 
chorus: chorus 
ro: ro 
brenda: brenda 
still: still 
burn: burn 
section: section 
totin: totin 
motherfuckas: motherfuckas 
retaliated: retaliated 
mary: mary 
nobody: nobody 
kiss: kiss 
let: let 
plenty: plenty 
cocked: cocked 
docta: docta 
nigga: nigga niggas 
luccas: luccas 
miniminter: miniminter 
pas: pass 
couch: couch 
hate: hate 
punk: punks 
noted: noted 
bless: bless 
remixes: remixes 
mash: mash 
cj: cj 
little: little 
locked: locked 
softer: softer 
te: te 
imaginary: imaginary 
pollutin: pollutin 
released: released 
killuminati: killuminati 
briggs: briggs 
ready: ready 
rez: rez 
traductions: traductions 
collection: collection 
clout: clout 
tell: tell 
poetik: poetik 
use: use 
queezy: queezy 
latinautorperf: latinautorperf 
heard: heard 
corp: corp 
lyric: lyrics lyric 
mistah: mistah 
bad: bad 
deep: deep 
outro: outro 
chief: chief 
put: put 
information: information 
demo: demo 
tear: tears 
epmd: epmd 
cypher: cypher 
rapper: rapper rappers 
badass: badass 
spice: spice 
boy: boy boys 
mia: mia 
explicit: explicit 
hype: hype 
kid: kids 
w: w 
crazy: crazy 
world: world 
shivam: shivam 
jab: jabs 
holding: holdings 
de: de 
traduction: traduction 
thug: thug 
oh: oh 
threat: threats 
pinche: pinche 
v: v vs 
baby: baby 
cold: cold 
makem: makem 
back: back 
mouth: mouth mouths 
fried: fried 
versace: versace 
violence: violence 
wanna: wanna 
kodak: kodak 
seed: seed 
getrichzay: getrichzay 
view: view 
york: york 
fox: fox 
rbaycan: rbaycan 
acrylo: acrylo 
privacy: privacy 
artist: artists 
want: want 
write: write 
calicoe: calicoe 
bout: bout 
go: go goes 
california: california 
fdm: fdm 
tarzana: tarzana 
gat: gats 
mook: mook 
memorable: memorable 
funny: funny 
rico: rico 
another: another 
cabron: cabron 
ca: ca 
movin: movin 
fonic: fonic 
equipped: equipped 
paint: paint 
ubem: ubem 
murder: murders 
run: run 
ice: ice 
small: smalls 
answer: answer 
share: share 
snatch: snatch 
recklezz: recklezz 
feat: feat 
roll: roll 
rip: rip 
cap: caps 
dropped: dropped 
gang: gang 
second: second 
never: never 
noble: noble 
quitter: quitter 
janeiro: janeiro 
onyx: onyx 
skizzy: skizzy 
k: k 
cha: cha 
think: think 
guideline: guidelines 
taker: taker 
check: check 
song: song songs 
credit: credits 
switcha: switcha 
eddie: eddie 
tucked: tucked 
november: november 
incarcerated: incarcerated 
wayne: wayne 
ruler: ruler 
mercury: mercury 
man: man 
yoshi: yoshi 
street: streets 
gonna: gonna 
puffy: puffy 
block: block 
even: even 
boppin: boppin 
extended: extended 
xay: xay 
instrumental: instrumental 
mill: mill 
kenshi: kenshi 
sour: sour 
fat: fat 
battle: battle 
capone: capone 
capital: capital 
outlawz: outlawz 
money: money 
el: el 
real: real 
warehouse: warehouse 
keef: keef 
hardcore: hardcore 
comment: comment comments 
brainstormed: brainstormed 
ay: ay 
verse: verses verse 
knee: knees 
cell: cell 
contributor: contributor contributors 
hi: hi 
eazy: eazy 
greatest: greatest 
read: read 
filmed: filmed 
biter: biter 
lil: lil 
sleep: sleep 
savage: savage 
petty: petty 
part: parts part 
tokyo: tokyo 
header: headers 
right: right rights 
anime: anime 
next: next 
nu: nu 
ren: ren 
huli: huli 
ask: ask 
written: written 
performance: performance performances 
format: format 
triple: triple 
vocalist: vocalists 
mexican: mexican 
developer: developers 
starr: starr 
fly: fly 
lobby: lobby 
rbaycanca: rbaycanca 
siedah: siedah 
mopped: mopped 
mesaj: mesaj 
bmg: bmg 
haha: haha 
phonographic: phonographic 
john: john 
salvo: salvo 
side: side 
remix: remix 
verificat: verificat 
steel: steel 
die: die 
popped: popped 
servin: servin 
pearl: pearl 
rice: rice 
slam: slam 
style: style 
chino: chino 
dead: dead 
cloud: clouds 
lootin: lootin 
visit: visit 
frisco: frisco 
jers: jers 
impersonation: impersonations 
stack: stacks 
musical: musical 
ridas: ridas 
created: created 
allegation: allegations 
game: game 
shit: shit 
crooked: crooked 
studio: studio studios 
power: power 
responded: responded 
june: june 
row: row 
flamma: flamma 
p: p 
head: head 
fair: fair 
play: play 
killed: killed 
see: see 
jerzey: jerzey 
uh: uh 
prop: props 
month: months 
nicole: nicole 
mara: mara 
dax: dax 
call: call 
somebody: somebody 
kool: kool 
smiled: smiled 
mobb: mobb 
broken: broken 
different: different 
cam: cam 
troydan: troydan 
clique: clique 
remember: remember 
knowin: knowin 
hahahaha: hahahaha 
shot: shot shots 
drama: drama 
sexual: sexual 
rus: russ 
video: videos video 
featured: featured 
cease: cease 
album: album 
tag: tags 
nothin: nothin 
ride: ride 
sampled: sampled 
xhosa: xhosa 
label: label 
grant: grants 
mothafuckas: mothafuckas 
mc: mc 
peeled: peeled 
wrath: wrath 
pat: pat 
goofy: goofy 
chingy: chingy 
ascap: ascap 
job: job jobs 
kollegah: kollegah 
got: got 
dre: dre 
planned: planned 
coast: coast 
tryna: tryna 
sickle: sickle 
edward: edwards 
type: type 
b: b 
release: release 
funkoars: funkoars 
bustin: bustin 
dennis: dennis 
rule: rules rule 
goodnight: goodnight 
controversy: controversy 
gangster: gangster 
mgk: mgk 
group: group 
rollin: rollin 
