tradu: tradu 
important: important 
bitch: bitch 
italic: italics 
mfnmelo: mfnmelo 
chorus: chorus 
tell: tells 
section: section 
raspy: raspy 
girl: girl girls 
death: deaths death 
gracious: gracious 
gi: gi 
nobody: nobody 
let: let 
ad: ad 
libs: libs 
february: february 
eliminated: eliminated 
nostril: nostrils 
lemon: lemon 
good: good 
roc: roc 
noted: noted 
surprise: surprise 
okay: okay 
remixes: remixes 
proper: proper 
released: released 
chambazyan: chambazyan 
collection: collection 
joie: joie 
whale: whale 
use: use 
doe: doe 
month: month months 
corp: corp 
lyric: lyrics lyric 
diga: diga 
bad: bad 
outro: outro 
information: information 
plus: pluss 
boy: boy 
hype: hype 
abaga: abaga 
w: w 
world: world 
holding: holdings 
summermash: summermash 
making: making 
oh: oh 
v: v 
baby: baby 
momma: momma 
back: back 
bunny: bunny 
jackson: jackson 
beyonc: beyonc 
slay: slay 
stuart: stuart 
hater: haters 
beret: berets 
privacy: privacy 
artist: artists artist 
want: want wants 
yes: yes 
shine: shines 
write: write 
loved: loved 
go: go 
buy: buy 
another: another 
npr: npr 
ca: ca 
earworm: earworm 
answer: answer 
jon: jon 
share: share 
paparazzo: paparazzi 
never: never 
k: k 
generis: generis 
realm: realm 
co: co 
guideline: guidelines 
lady: ladies 
check: check 
song: song songs 
credit: credits credit 
horn: horn 
chopper: chopper 
gu: gu 
appearance: appearance 
originated: originated 
even: even 
bey: bey 
engineer: engineer 
grind: grind 
fat: fat 
arthur: arthur 
trick: trick 
titled: titled 
money: money 
el: el 
albino: albino 
comment: comment comments 
tour: tour 
commentary: commentary 
green: greens 
afro: afros 
rep: rep 
contributor: contributor contributors 
movement: movement 
read: read 
trayvon: trayvon 
filmed: filmed 
mess: mess 
greatest: greatest 
jxmmi: jxmmi 
petty: petty 
part: parts part 
ranked: ranked 
resilience: resilience 
header: headers 
right: right rights 
defiant: defiant 
background: background 
documentary: documentary 
papaya: papaya 
performance: performance performances 
ask: ask 
written: written 
ge: ge 
format: format 
vocalist: vocalists 
american: american 
developer: developers 
fly: fly 
bridge: bridge 
jaycen: jaycen 
haha: haha 
director: director 
matsoukas: matsoukas 
creole: creole 
sandcastles: sandcastles 
remix: remix 
mixing: mixing 
view: view 
style: style 
musical: musical 
que: que 
visit: visit 
maker: makers 
though: though 
bama: bama 
created: created 
coordination: coordination 
power: power 
commonly: commonly 
p: p 
play: play 
see: see 
cuervo: cuervo 
heir: heir 
included: included 
alfa: alfa 
meant: meant 
hook: hook 
medium: media 
besta: besta 
brilliant: brilliant 
faster: faster 
stunt: stunt 
broken: broken 
different: different 
lo: lo 
bill: bill 
paying: paying 
shot: shot shots 
vida: vida 
star: star 
rock: rock 
red: red 
e: es e 
video: videos video 
