atlantic: atlantic 
ashby: ashby 
hang: hang 
bitch: bitch bitches 
italic: italics 
freak: freak 
mastered: mastered 
around: around 
chorus: chorus 
charm: charms 
burn: burn 
section: section 
act: act 
stranger: stranger 
nederlandse: nederlandse 
let: let 
throughout: throughout 
nigga: nigga niggas 
dip: dip 
ncernn: ncernn 
season: season 
aphrican: aphrican 
vroom: vroom 
renni: renni 
okay: okay 
remixes: remixes 
pour: pour 
honestly: honestly 
released: released 
none: none 
traductions: traductions 
leonard: leonard 
swim: swim 
collection: collection 
tell: tell 
use: use 
bape: bape 
heard: heard 
corp: corp 
lyric: lyrics lyric 
role: role 
bad: bad 
give: give 
phresher: phresher 
chill: chill 
put: put 
information: information 
rapper: rapper 
spice: spice 
ksr: ksr 
worker: worker 
chainsaw: chainsaw 
w: w 
six: six 
world: world 
flocka: flocka 
illmac: illmac 
holding: holdings 
traduction: traduction 
v: v vs 
bother: bother 
baby: baby 
fouine: fouine 
bpm: bpm 
relate: relate 
vertaling: vertaling 
cardi: cardi 
wanna: wanna 
kodak: kodak 
much: much 
alex: alex 
invasion: invasion 
dance: dance 
acrylo: acrylo 
privacy: privacy 
hope: hope 
want: want 
artist: artists 
framework: framework 
geo: geo 
alaska: alaska 
ayy: ayy 
impressed: impressed 
breed: breed 
writing: writing 
cxrdi: cxrdi 
iob: iob 
bout: bout 
go: go 
waka: waka 
buy: buy 
another: another 
hadouken: hadouken 
run: run 
kenoe: kenoe 
motorsport: motorsport 
earworm: earworm 
move: move moves 
answer: answer 
share: share 
shade: shades 
pay: pay 
gang: gang 
dropped: dropped 
teeth: teeth 
onyx: onyx 
account: account accounts 
k: k 
think: think 
co: co 
guideline: guidelines 
ke: ke 
name: name 
stove: stove 
check: check 
song: song songs 
credit: credits 
cheese: cheese 
jc: jc 
thru: thru 
tzukush: tzukush 
latin: latin 
dinner: dinner 
block: block 
even: even 
engineer: engineer 
rich: rich 
zae: zae 
battle: battle 
yachty: yachty 
money: money 
real: real 
shirin: shirin 
comment: comment comments 
brando: brando 
wrote: wrote 
le: les 
bodak: bodak 
contributor: contributor contributors 
yung: yung 
rilla: rilla 
read: read 
lil: lil 
part: parts part 
past: past 
header: headers 
member: member 
street: street 
sin: sins 
ask: ask 
written: written 
performance: performance 
format: format 
bora: bora 
vocalist: vocalists 
torchfvce: torchfvce 
developer: developers 
changed: changed 
expensive: expensive 
kambo: kambo 
alludes: alludes 
gabber: gabber 
limit: limit 
bmg: bmg 
onlyhit: onlyhit 
phonographic: phonographic 
director: director 
september: september 
remix: remix 
magazine: magazine 
popped: popped 
mail: mail 
mixing: mixing 
view: view 
musical: musical 
france: france 
visit: visit 
created: created 
billboard: billboard 
game: game 
shit: shit 
studio: studio studios 
responded: responded 
june: june 
p: p 
mean: means 
play: play 
see: see 
month: months 
allegro: allegro 
medium: media 
broken: broken 
different: different 
united: united 
legitimacy: legitimacy 
nyuk: nyuk 
elmont: elmont 
bill: bill bills 
pardison: pardison 
fight: fight 
vida: vida 
maybe: maybe 
fontaine: fontaine 
degrader: degrader 
red: red 
enough: enough 
video: videos video 
pussy: pussy 
cemented: cemented 
featured: featured 
flow: flow 
light: light 
acid: acid 
tag: tags 
grant: grants 
label: label 
evan: evan 
reaching: reaching 
parody: parody 
farid: farid 
michael: michael 
goofy: goofy 
ballad: ballad 
apollo: apollo 
ascap: ascap 
island: island 
al: al 
got: got 
armory: armory 
duki: duki 
